idx,n_gt,n_pred,count_error,iou_sem,dice_sem,mAP,tp_50,fp_50,fn_50,ap_50,tp_55,fp_55,fn_55,ap_55,tp_60,fp_60,fn_60,ap_60,tp_65,fp_65,fn_65,ap_65,tp_70,fp_70,fn_70,ap_70,tp_75,fp_75,fn_75,ap_75,tp_80,fp_80,fn_80,ap_80,tp_85,fp_85,fn_85,ap_85,tp_90,fp_90,fn_90,ap_90,tp_95,fp_95,fn_95,ap_95
0,11,12,1,0.440282,0.611383,0.573913,11,1,0,0.956522,11,1,0,0.956522,11,1,0,0.956522,10,2,1,0.869565,9,3,2,0.782609,8,4,3,0.695652,5,7,6,0.434783,1,11,10,0.086957,0,12,11,0.0,0,12,11,0.0
1,9,9,0,0.387651,0.558716,0.455556,7,2,2,0.777778,7,2,2,0.777778,7,2,2,0.777778,7,2,2,0.777778,5,4,4,0.555556,4,5,5,0.444444,3,6,6,0.333333,1,8,8,0.111111,0,9,9,0.0,0,9,9,0.0
2,52,67,15,0.461105,0.631173,0.178151,22,45,30,0.369748,20,47,32,0.336134,17,50,35,0.285714,15,52,37,0.252101,11,56,41,0.184874,11,56,41,0.184874,7,60,45,0.117647,3,64,49,0.05042,0,67,52,0.0,0,67,52,0.0
3,9,9,0,0.389444,0.560575,0.5,8,1,1,0.888889,8,1,1,0.888889,8,1,1,0.888889,8,1,1,0.888889,6,3,3,0.666667,6,3,3,0.666667,1,8,8,0.111111,0,9,9,0.0,0,9,9,0.0,0,9,9,0.0
4,65,63,2,0.508231,0.673943,0.503125,57,6,8,0.890625,56,7,9,0.875,53,10,12,0.828125,49,14,16,0.765625,46,17,19,0.71875,38,25,27,0.59375,18,45,47,0.28125,5,58,60,0.078125,0,63,65,0.0,0,63,65,0.0
5,18,19,1,0.685404,0.813341,0.502703,14,5,4,0.756757,13,6,5,0.702703,12,7,6,0.648649,12,7,6,0.648649,10,9,8,0.540541,8,11,10,0.432432,8,11,10,0.432432,8,11,10,0.432432,6,13,12,0.324324,2,17,16,0.108108
6,58,52,6,0.347837,0.516141,0.250909,36,16,22,0.654545,32,20,26,0.581818,29,23,29,0.527273,21,31,37,0.381818,11,41,47,0.2,5,47,53,0.090909,2,50,56,0.036364,2,50,56,0.036364,0,52,58,0.0,0,52,58,0.0
7,11,12,1,0.414683,0.586255,0.286957,9,3,2,0.782609,8,4,3,0.695652,6,6,5,0.521739,4,8,7,0.347826,3,9,8,0.26087,2,10,9,0.173913,1,11,10,0.086957,0,12,11,0.0,0,12,11,0.0,0,12,11,0.0
8,12,12,0,0.189687,0.318886,0.116667,3,9,9,0.25,3,9,9,0.25,3,9,9,0.25,2,10,10,0.166667,2,10,10,0.166667,1,11,11,0.083333,0,12,12,0.0,0,12,12,0.0,0,12,12,0.0,0,12,12,0.0
9,19,19,0,0.314034,0.477969,0.173684,10,9,9,0.526316,9,10,10,0.473684,6,13,13,0.315789,3,16,16,0.157895,3,16,16,0.157895,2,17,17,0.105263,0,19,19,0.0,0,19,19,0.0,0,19,19,0.0,0,19,19,0.0
10,43,43,0,0.383622,0.554519,0.488372,42,1,1,0.976744,42,1,1,0.976744,41,2,2,0.953488,30,13,13,0.697674,28,15,15,0.651163,19,24,24,0.44186,7,36,36,0.162791,1,42,42,0.023256,0,43,43,0.0,0,43,43,0.0
11,7,6,1,0.514318,0.679273,0.6,5,1,2,0.769231,5,1,2,0.769231,5,1,2,0.769231,5,1,2,0.769231,5,1,2,0.769231,5,1,2,0.769231,4,2,3,0.615385,4,2,3,0.615385,1,5,6,0.153846,0,6,7,0.0
12,77,10,67,0.021507,0.042109,0.055172,5,5,72,0.114943,5,5,72,0.114943,4,6,73,0.091954,4,6,73,0.091954,3,7,74,0.068966,2,8,75,0.045977,1,9,76,0.022989,0,10,77,0.0,0,10,77,0.0,0,10,77,0.0
13,37,36,1,0.36184,0.531399,0.49863,36,0,1,0.986301,34,2,3,0.931507,34,2,3,0.931507,30,6,7,0.821918,27,9,10,0.739726,15,21,22,0.410959,5,31,32,0.136986,1,35,36,0.027397,0,36,37,0.0,0,36,37,0.0
14,56,45,11,0.425112,0.596601,0.20396,29,16,27,0.574257,22,23,34,0.435644,17,28,39,0.336634,15,30,41,0.29703,12,33,44,0.237624,6,39,50,0.118812,2,43,54,0.039604,0,45,56,0.0,0,45,56,0.0,0,45,56,0.0
15,17,16,1,0.597107,0.747736,0.745455,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,16,0,1,0.969697,15,1,2,0.909091,13,3,4,0.787879,9,7,8,0.545455,6,10,11,0.363636,0,16,17,0.0
16,9,10,1,0.657507,0.793369,0.515789,7,3,2,0.736842,7,3,2,0.736842,6,4,3,0.631579,6,4,3,0.631579,5,5,4,0.526316,5,5,4,0.526316,5,5,4,0.526316,5,5,4,0.526316,3,7,6,0.315789,0,10,9,0.0
17,21,16,5,0.519815,0.684051,0.416216,14,2,7,0.756757,13,3,8,0.702703,13,3,8,0.702703,12,4,9,0.648649,10,6,11,0.540541,10,6,11,0.540541,4,12,17,0.216216,1,15,20,0.054054,0,16,21,0.0,0,16,21,0.0
18,51,44,7,0.29237,0.452455,0.174737,32,12,19,0.673684,27,17,24,0.568421,15,29,36,0.315789,7,37,44,0.147368,2,42,49,0.042105,0,44,51,0.0,0,44,51,0.0,0,44,51,0.0,0,44,51,0.0,0,44,51,0.0
19,28,21,7,0.723227,0.839387,0.044898,6,15,22,0.244898,3,18,25,0.122449,1,20,27,0.040816,1,20,27,0.040816,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0,0,21,28,0.0
20,25,20,5,0.61647,0.762736,0.653333,19,1,6,0.844444,19,1,6,0.844444,19,1,6,0.844444,18,2,7,0.8,18,2,7,0.8,18,2,7,0.8,13,7,12,0.577778,12,8,13,0.533333,11,9,14,0.488889,0,20,25,0.0
21,40,41,1,0.355194,0.524196,0.192593,24,17,16,0.592593,23,18,17,0.567901,15,26,25,0.37037,9,32,31,0.222222,5,36,35,0.123457,2,39,38,0.049383,0,41,40,0.0,0,41,40,0.0,0,41,40,0.0,0,41,40,0.0
